# test name,category,real vulnerability,CWE
# Ruby SAST Benchmark v0.3.1
# 1288 test cases (644 TP / 644 TN), 27 CWE categories
BenchmarkTest00227,authnfailure,true,287
BenchmarkTest00394,authnfailure,true,287
BenchmarkTest01100,authnfailure,true,287
BenchmarkTest00010,authnfailure,true,287
BenchmarkTest00578,authnfailure,true,287
BenchmarkTest00661,authnfailure,true,287
BenchmarkTest00198,authnfailure,true,287
BenchmarkTest00858,authnfailure,true,287
BenchmarkTest00567,authnfailure,true,287
BenchmarkTest00331,authnfailure,true,287
BenchmarkTest00822,authnfailure,false,287
BenchmarkTest01037,authnfailure,false,287
BenchmarkTest00362,authnfailure,false,287
BenchmarkTest00409,authnfailure,false,287
BenchmarkTest00140,authnfailure,false,287
BenchmarkTest00518,authnfailure,false,287
BenchmarkTest00252,authnfailure,false,287
BenchmarkTest00926,authnfailure,false,287
BenchmarkTest00413,authnfailure,false,287
BenchmarkTest00757,authnfailure,false,287
BenchmarkTest00051,authzfailure,true,862
BenchmarkTest00177,authzfailure,true,862
BenchmarkTest00865,authzfailure,true,862
BenchmarkTest00666,authzfailure,true,862
BenchmarkTest01053,authzfailure,true,862
BenchmarkTest00032,authzfailure,true,862
BenchmarkTest00428,authzfailure,true,862
BenchmarkTest01222,authzfailure,true,862
BenchmarkTest00328,authzfailure,true,862
BenchmarkTest00512,authzfailure,true,862
BenchmarkTest00366,authzfailure,false,862
BenchmarkTest00801,authzfailure,false,862
BenchmarkTest00323,authzfailure,false,862
BenchmarkTest00236,authzfailure,false,862
BenchmarkTest00133,authzfailure,false,862
BenchmarkTest00484,authzfailure,false,862
BenchmarkTest00460,authzfailure,false,862
BenchmarkTest00924,authzfailure,false,862
BenchmarkTest00964,authzfailure,false,862
BenchmarkTest00975,authzfailure,false,862
BenchmarkTest00985,cmdi,true,78
BenchmarkTest00769,cmdi,true,78
BenchmarkTest00332,cmdi,true,78
BenchmarkTest00667,cmdi,true,78
BenchmarkTest00249,cmdi,true,78
BenchmarkTest00069,cmdi,true,78
BenchmarkTest00492,cmdi,true,78
BenchmarkTest01201,cmdi,true,78
BenchmarkTest00603,cmdi,true,78
BenchmarkTest01215,cmdi,true,78
BenchmarkTest00741,cmdi,false,78
BenchmarkTest01067,cmdi,false,78
BenchmarkTest01118,cmdi,false,78
BenchmarkTest00720,cmdi,false,78
BenchmarkTest00188,cmdi,false,78
BenchmarkTest00561,cmdi,false,78
BenchmarkTest00616,cmdi,false,78
BenchmarkTest00545,cmdi,false,78
BenchmarkTest00800,cmdi,false,78
BenchmarkTest00449,cmdi,false,78
BenchmarkTest00024,codeinj,true,94
BenchmarkTest00990,codeinj,true,94
BenchmarkTest00436,codeinj,true,94
BenchmarkTest00267,codeinj,true,94
BenchmarkTest00559,codeinj,true,94
BenchmarkTest01183,codeinj,true,94
BenchmarkTest00727,codeinj,true,94
BenchmarkTest00226,codeinj,true,94
BenchmarkTest01056,codeinj,true,94
BenchmarkTest01096,codeinj,true,94
BenchmarkTest00248,codeinj,false,94
BenchmarkTest00798,codeinj,false,94
BenchmarkTest01046,codeinj,false,94
BenchmarkTest01263,codeinj,false,94
BenchmarkTest01249,codeinj,false,94
BenchmarkTest00714,codeinj,false,94
BenchmarkTest00751,codeinj,false,94
BenchmarkTest00966,codeinj,false,94
BenchmarkTest00974,codeinj,false,94
BenchmarkTest00468,codeinj,false,94
BenchmarkTest00851,csrf,true,352
BenchmarkTest00731,csrf,true,352
BenchmarkTest00808,csrf,true,352
BenchmarkTest00402,csrf,true,352
BenchmarkTest01274,csrf,true,352
BenchmarkTest00830,csrf,true,352
BenchmarkTest00828,csrf,true,352
BenchmarkTest00096,csrf,true,352
BenchmarkTest00377,csrf,false,352
BenchmarkTest00143,csrf,false,352
BenchmarkTest00695,csrf,false,352
BenchmarkTest01176,csrf,false,352
BenchmarkTest00229,csrf,false,352
BenchmarkTest00781,csrf,false,352
BenchmarkTest00803,csrf,false,352
BenchmarkTest00976,csrf,false,352
BenchmarkTest00168,csrf,false,352
BenchmarkTest00994,deserial,true,502
BenchmarkTest00680,deserial,true,502
BenchmarkTest00100,deserial,true,502
BenchmarkTest00805,deserial,true,502
BenchmarkTest00526,deserial,true,502
BenchmarkTest00046,deserial,true,502
BenchmarkTest01256,deserial,true,502
BenchmarkTest00916,deserial,true,502
BenchmarkTest00244,deserial,false,502
BenchmarkTest00068,deserial,false,502
BenchmarkTest01126,deserial,false,502
BenchmarkTest01004,deserial,false,502
BenchmarkTest01227,deserial,false,502
BenchmarkTest00322,deserial,false,502
BenchmarkTest01148,deserial,false,502
BenchmarkTest00875,deserial,false,502
